Station Name,Available Docks,Percent Full,Docks in Service,Latitude,Longitude,Timestamp
Dorchester Ave & 49th St,10,41,17,41.886835,-87.62232,5/7/2022 23:35
Dorchester Ave & 63rd St,10,33,15,41.822985,-87.6071,5/7/2022 23:35
Doty Ave & 111th St,7,50,14,41.809443,-87.591875,5/7/2022 23:35
Drake Ave & Addison St,19,50,38,41.911722,-87.626804,5/7/2022 23:35
Drake Ave & Montrose Ave,6,45,11,41.75867,-87.586883,5/7/2022 23:35
DuSable Lake Shore Dr & Belmont Ave,1,91,11,41.816499,-87.606582,5/7/2022 23:35
DuSable Lake Shore Dr & Diversey Pkwy,2,82,11,41.838842,-87.621857,5/7/2022 23:35
DuSable Lake Shore Dr & Monroe St,13,43,23,41.857813,-87.62455,5/7/2022 23:35
DuSable Lake Shore Dr & North Blvd,10,33,15,41.861267,-87.656625,5/7/2022 23:35
DuSable Lake Shore Dr & Wellington Ave,5,67,15,41.865234,-87.666507,5/7/2022 23:35
DuSable Museum,9,18,11,41.910475,-87.696894,5/7/2022 23:35
Dusable Harbor,9,36,14,41.891072,-87.666611,5/7/2022 23:35
East End Ave & 87th St,10,33,15,41.830707,-87.641255,5/7/2022 23:35
Eastlake Ter & Rogers Ave,14,7,15,41.830661,-87.647172,5/7/2022 23:35
Eberhart Ave & 131st St,9,18,11,41.8378,-87.65114,5/7/2022 23:35
Eberhart Ave & 61st St,5,29,7,41.84847,-87.685109,5/7/2022 23:35
Eberhart Ave & 91st St,2,83,12,41.864883,-87.647071,5/7/2022 23:35
Eckhart Park,35,0,35,41.878166,-87.631929,5/7/2022 23:35
Eggleston Ave & 69th St,20,13,23,41.87785,-87.62408,5/7/2022 23:35
Eggleston Ave & 92nd St,15,21,19,41.889899,-87.671473,5/7/2022 23:35
Elizabeth (May) St & Fulton St,12,20,15,41.879434,-87.635504,5/7/2022 23:35
Elizabeth St & 47th St,19,37,30,41.880317,-87.635185,5/7/2022 23:35
Elizabeth St & 59th St,1,93,14,41.918084,-87.643749,5/7/2022 23:35
Elizabeth St & 92nd St,1,94,18,41.912133,-87.634656,5/7/2022 23:35
Ellis Ave & 53rd St,8,47,15,41.921525,-87.707322,5/7/2022 23:35
Ellis Ave & 55th St,10,41,17,41.906724,-87.63483,5/7/2022 23:35
Ellis Ave & 58th St,7,36,11,41.957081,-87.664199,5/7/2022 23:35
Ellis Ave & 60th St,12,45,22,41.965221,-87.658139,5/7/2022 23:35
Ellis Ave & 83rd St,8,43,14,41.978353,-87.659753,5/7/2022 23:35
Elmwood Ave & Austin St,14,26,19,41.973815,-87.65966,5/7/2022 23:35
Elston Ave & Cortland St,8,58,19,41.940106,-87.645451,5/7/2022 23:35
Elston Ave & George St,11,27,15,41.961507,-87.671387,5/7/2022 23:35
Elston Ave & Henderson St,1,93,15,41.956004,-87.680161,5/7/2022 23:35
Elston Ave & Wabansia Ave,3,75,12,41.94367,-87.64895,5/7/2022 23:35
Emerald Ave & 28th St,6,65,17,41.937582,-87.644098,5/7/2022 23:35
Emerald Ave & 31st St,17,6,18,41.907993,-87.631501,5/7/2022 23:35
Evans Ave & 75th St,22,21,28,41.928712,-87.653833,5/7/2022 23:35
Evanston Civic Center,15,35,23,41.945529,-87.646439,5/7/2022 23:35
Ewing Ave & Burnham Greenway,4,64,11,41.949074,-87.648636,5/7/2022 23:35
Exchange Ave & 79th St,7,70,23,41.902893,-87.687275,5/7/2022 23:35
Fairbanks Ct & Grand Ave,11,35,17,41.958494,-87.654966,5/7/2022 23:35
Fairbanks St & Superior St,8,47,15,41.920771,-87.663712,5/7/2022 23:35
Fairfield Ave & 44th St,5,50,10,41.943403,-87.679618,5/7/2022 23:35
Fairfield Ave & Roosevelt Rd,0,100,9,41.917805,-87.682437,5/7/2022 23:35
Federal St & Polk St,1,90,10,41.920082,-87.677855,5/7/2022 23:35
Field Blvd & South Water St,3,84,19,41.968885,-87.684001,5/7/2022 23:35
Field Museum,1,93,14,41.957867,-87.649505,5/7/2022 23:35
Financial Pl & Ida B Wells Dr,7,61,18,41.925858,-87.638973,5/7/2022 23:35
Fort Dearborn Dr & 31st St,12,20,15,41.957921,-87.673567,5/7/2022 23:35
Francisco Ave & 47th St,22,4,23,41.912919,-87.664169,5/7/2022 23:35
Francisco Ave & Bloomingdale Ave,17,11,19,41.96325,-87.679258,5/7/2022 23:35
Francisco Ave & Foster Ave,13,41,22,41.869265,-87.673731,5/7/2022 23:35
Francisco Ave & Hollywood Ave,3,80,15,41.954177,-87.664358,5/7/2022 23:35
Francisco Ave & Montrose Ave,8,47,15,41.93259,-87.665936,5/7/2022 23:35
Franklin St & Adams St (Temp),8,56,18,41.872187,-87.661501,5/7/2022 23:35
Franklin St & Chicago Ave,10,41,17,41.870769,-87.625734,5/7/2022 23:35
